	subjects	classes	status	B0	Dice	HD95
146	sub_7	L-PCA	without_pp	0.0	0.8763736263736264	0.5000057220458984
147	sub_8	L-PCA	without_pp	0.0	0.8656182987848463	3.6452637195587174
148	sub_9	L-PCA	without_pp	1.0	0.9044542672560353	8.468106746673582
149	sub_10	L-PCA	without_pp	0.0	0.9314017895185344	0.3571434020996094
150	sub_11	L-PCA	without_pp	0.0	0.921994884910486	0.3571434020996094
151	sub_12	L-PCA	without_pp	1.0	0.8646864686468647	4.087677955627441
152	sub_13	L-PCA	without_pp	0.0	0.849112426035503	0.5000028610229492
153	sub_14	L-PCA	without_pp	0.0	0.9080610021786493	0.3571434020996094
154	sub_15	L-PCA	without_pp	2.0	0.6267806267806268	1.8733445882797128
155	sub_16	L-PCA	without_pp	0.0	0.8786802030456853	0.5000023365020752
156	sub_17	L-PCA	without_pp	1.0	0.4420803782505911	7.065788841247554
157	sub_18	L-PCA	without_pp	0.0	0.9331919406150583	0.3571434020996094
158	sub_19	L-PCA	without_pp	0.0	0.9398859148749451	0.3571434020996094
159	sub_20	L-PCA	without_pp	0.0	0.92880978865406	0.3571434020996094
160	sub_1	L-Pcom	without_pp	1.0	0.0	90.0
161	sub_2	L-Pcom	without_pp			
162	sub_3	L-Pcom	without_pp	1.0	0.0	90.0
163	sub_4	L-Pcom	without_pp	1.0	0.0	90.0
164	sub_5	L-Pcom	without_pp	0.0	0.8317107093184979	0.8718988299369812
165	sub_6	L-Pcom	without_pp			
166	sub_7	L-Pcom	without_pp			
167	sub_8	L-Pcom	without_pp	0.0	0.8352490421455938	0.5000002384185791
168	sub_9	L-Pcom	without_pp			
169	sub_10	L-Pcom	without_pp			
170	sub_11	L-Pcom	without_pp	0.0	0.8812615955473098	0.4999961853027344
171	sub_12	L-Pcom	without_pp	1.0	0.8407871198568874	0.9999933242797852
172	sub_13	L-Pcom	without_pp	1.0	0.0	90.0
173	sub_14	L-Pcom	without_pp	0.0	0.9122588674548849	0.4999988079071045
174	sub_15	L-Pcom	without_pp	0.0	0.4592901878914405	5.382202458381652
175	sub_16	L-Pcom	without_pp	0.0	0.6845238095238096	5.012767314910889
176	sub_17	L-Pcom	without_pp	0.0	0.8488700564971751	1.2797470092773438
177	sub_18	L-Pcom	without_pp			
178	sub_19	L-Pcom	without_pp			
179	sub_20	L-Pcom	without_pp	0.0	0.8926108374384236	0.3571434020996094
180	sub_1	MergedBin	without_pp	1.0	0.9582253982432634	0.3571434020996094
181	sub_2	MergedBin	without_pp	3.0	0.6301707069085462	6.664687633514404
182	sub_3	MergedBin	without_pp	1.0	0.9159712381252296	2.2968621253967285
183	sub_4	MergedBin	without_pp	0.0	0.9498477755589747	0.3571434020996094
184	sub_5	MergedBin	without_pp	0.0	0.916600894501447	0.3571434020996094
185	sub_6	MergedBin	without_pp	1.0	0.9418604651162791	0.3571434020996094
186	sub_7	MergedBin	without_pp	0.0	0.9186983844964302	0.3571434020996094
187	sub_8	MergedBin	without_pp	1.0	0.9205466114955319	0.3571434020996094
188	sub_9	MergedBin	without_pp	1.0	0.9608620321363301	0.35714292526245117
189	sub_10	MergedBin	without_pp	9.0	0.9271783359057106	0.5000028610229492
190	sub_11	MergedBin	without_pp	0.0	0.9528223574986165	0.3571434020996094
191	sub_12	MergedBin	without_pp	3.0	0.9154072057875511	0.3571434020996094
192	sub_13	MergedBin	without_pp	2.0	0.9380578847714363	0.3571434020996094
193	sub_14	MergedBin	without_pp	1.0	0.9500367792678097	0.3571434020996094
194	sub_15	MergedBin	without_pp	3.0	0.9067230897604004	0.3571434020996094
195	sub_16	MergedBin	without_pp	1.0	0.9006052883083785	0.3571434020996094
196	sub_17	MergedBin	without_pp	2.0	0.9322065639777143	0.3571434020996094
197	sub_18	MergedBin	without_pp	1.0	0.9117047769979624	0.3571434020996094
198	sub_19	MergedBin	without_pp	1.0	0.9520042448507068	0.3571427285671234
199	sub_20	MergedBin	without_pp	1.0	0.9461218180458252	0.3571434020996094
200	sub_1	R-ACA	without_pp	0.0	0.9481458685951686	0.35714292526245117
201	sub_2	R-ACA	without_pp	0.0	0.6825775656324583	0.7985959470272064
202	sub_3	R-ACA	without_pp	0.0	0.9169530355097365	0.3571434020996094
203	sub_4	R-ACA	without_pp	0.0	0.9105082631743061	0.4999990463256836
204	sub_5	R-ACA	without_pp	0.0	0.8354278874925195	0.7142858028411865
205	sub_6	R-ACA	without_pp	2.0	0.8254356465912565	2.0528432726860046
206	sub_7	R-ACA	without_pp	0.0	0.8642917726887193	0.5000057220458984
207	sub_8	R-ACA	without_pp	0.0	0.8938928693278745	0.3571434020996094
208	sub_9	R-ACA	without_pp	0.0	0.94050822122571	0.35714292526245117
209	sub_10	R-ACA	without_pp	3.0	0.56	2.715932095050812
210	sub_11	R-ACA	without_pp	0.0	0.9387392719739568	0.35714292526245117
211	sub_12	R-ACA	without_pp	0.0	0.9034034034034034	0.3571434020996094
212	sub_13	R-ACA	without_pp	3.0	0.8547008547008548	9.481200885772706
213	sub_14	R-ACA	without_pp	0.0	0.9321352565618349	0.35714292526245117
214	sub_15	R-ACA	without_pp	0.0	0.8471794871794872	0.5000009536743164
215	sub_16	R-ACA	without_pp	0.0	0.8788215675375209	0.5000028610229492
216	sub_17	R-ACA	without_pp	0.0	0.9161168708765315	0.35714292526245117
217	sub_18	R-ACA	without_pp	1.0	0.8385241974125539	0.4999990463256836
218	sub_19	R-ACA	without_pp	0.0	0.9101516919486581	0.3571434020996094
219	sub_20	R-ACA	without_pp	1.0	0.8221307727480567	1.8087014615535728
220	sub_1	R-ICA	without_pp	1.0	0.9682044166955718	0.3571427822113037
221	sub_2	R-ICA	without_pp	0.0	0.7996906419180201	1.235114711523056
222	sub_3	R-ICA	without_pp	0.0	0.955855674259222	0.35714292526245117
223	sub_4	R-ICA	without_pp	0.0	0.9696565925746472	0.35714292526245117
224	sub_5	R-ICA	without_pp	0.0	0.9037413730475845	0.7142856121063232
225	sub_6	R-ICA	without_pp	0.0	0.9521586931155193	0.35714292526245117
226	sub_7	R-ICA	without_pp	0.0	0.9275183008557584	0.3571434020996094
227	sub_8	R-ICA	without_pp	0.0	0.926574829477063	0.3571434020996094
228	sub_9	R-ICA	without_pp	0.0	0.9683574879227053	0.35714244842529297
229	sub_10	R-ICA	without_pp	1.0	0.9404538474663027	0.5050760507583618
230	sub_11	R-ICA	without_pp	0.0	0.9454291695743196	0.4999971389770508
231	sub_12	R-ICA	without_pp	0.0	0.90856763338499	0.3571434020996094
232	sub_13	R-ICA	without_pp	0.0	0.8793820558526441	1.5135457515716553
233	sub_14	R-ICA	without_pp	0.0	0.9444683598794662	0.3571434020996094
234	sub_15	R-ICA	without_pp	1.0	0.9327846364883402	0.3571434020996094
235	sub_16	R-ICA	without_pp	0.0	0.9015242336016441	0.5000028014183044
236	sub_17	R-ICA	without_pp	0.0	0.9242384338512861	0.4999997317790985
237	sub_18	R-ICA	without_pp	0.0	0.9005847953216375	0.35714292526245117
238	sub_19	R-ICA	without_pp	0.0	0.9401280980228349	0.35714292526245117
239	sub_20	R-ICA	without_pp	0.0	0.9498319274433945	0.6144509315490723
240	sub_1	R-MCA	without_pp	0.0	0.9011943539630837	0.4999980926513672
241	sub_2	R-MCA	without_pp	0.0	0.5946547884187083	0.8718958497047424
